id,parentIssueID,issueDate,resolvedDate,dateRangeStart,dateRangeEnd,locationAffected,issue,resolution
44306,,2022-01-14T00:00:00Z,2022-01-14T00:00:00Z,2019-01-01T00:00:00Z,2022-01-31T00:00:00Z,PUUM,Elevations incorrectly referenced as ellipsoidal heights instead of orthometric heights.,Elevations were updated to be correctly referenced to an orthometric height reference via Geoid12A.
44307,44306.0,2022-01-14T00:00:00Z,2022-01-14T00:00:00Z,2018-07-01T00:00:00Z,2018-07-31T00:00:00Z,WREF,Elevations incorrectly referenced as ellipsoidal heights instead of orthometric heights.,Elevations were updated to be correctly referenced to an orthometric height reference via Geoid12A.
45908,,2022-01-20T00:00:00Z,2022-03-31T00:00:00Z,2016-07-01T00:00:00Z,2016-07-31T00:00:00Z,STEI,Files referenced in incorrect UTM zone (16N) for the Chequamegon-Nicolet National Forest region of STEI.,Files were reprocessed and referenced within the correct UTM zone (15N).
70005,,2022-09-29T00:00:00Z,2024-01-31T00:00:00Z,2021-04-01T00:00:00Z,2022-06-01T00:00:00Z,"SOAP, TEAK, BLAN, SERC, OSBS, DSNY, OAES","AOP lidar data products collected with the Optech Galaxy Prime Lidar sensor between 2021 and 2022 were found to have abnormally high noise levels, which our standard noise filtering algorithms did not correctly classify.

Update: We conservatively included MOAB, GRSM, MLBS, ABBY, WREF, MCRA, SCBI, JERC, CLBJ, PRIN as sites with issues in the original notification. These sites were found to have minimal issues upon further investigation and were removed from affected locations.",An improved algorithm for classifying and removing noisy lidar points was applied.
74604,,2022-12-08T00:00:00Z,2022-12-08T00:00:00Z,2018-05-01T00:00:00Z,2018-05-31T00:00:00Z,ORNL,Some 'No Data' values at site edges coded as NaNs instead of -9999.,
90604,,2024-02-01T00:00:00Z,,2018-04-23T00:00:00Z,2018-04-25T00:00:00Z,CLBJ,"AOP discrete lidar point cloud data were found to have abnormally high noise levels, which the standard noise filtering algorithms did not correctly classify. This mis-classification passed through to higher-level data products.  In most cases, a small portion of each site is affected by this issue, and the large majority of the site is still accurately classified.",
90605,90604.0,2024-02-01T00:00:00Z,,2019-01-01T00:00:00Z,2019-08-31T00:00:00Z,"MOAB, PUUM, REDB, UKFS","AOP discrete lidar point cloud data were found to have abnormally high noise levels, which the standard noise filtering algorithms did not correctly classify. This mis-classification passed through to higher-level data products.  In most cases, a small portion of each site is affected by this issue, and the large majority of the site is still accurately classified.",
90606,90604.0,2024-02-01T00:00:00Z,,2021-04-28T00:00:00Z,2021-04-30T00:00:00Z,MOAB,"AOP discrete lidar point cloud data were found to have abnormally high noise levels, which the standard noise filtering algorithms did not correctly classify. This mis-classification passed through to higher-level data products.  In most cases, a small portion of each site is affected by this issue, and the large majority of the site is still accurately classified.",
90607,90604.0,2024-02-01T00:00:00Z,,2022-08-02T00:00:00Z,2022-08-12T00:00:00Z,TOOL,"AOP discrete lidar point cloud data were found to have abnormally high noise levels, which the standard noise filtering algorithms did not correctly classify. This mis-classification passed through to higher-level data products.  In most cases, a small portion of each site is affected by this issue, and the large majority of the site is still accurately classified.",
97404,,2024-11-15T00:00:00Z,2025-01-29T00:00:00Z,2014-05-18T00:00:00Z,2014-06-02T00:00:00Z,"DSNY, HARV","Mis-alignment in the discrete lidar line to line adjustments. Some portions of the flight box were found to have up to ~meters vertical differences between flight lines, which affected all downstream lidar products.",Lidar lines were properly aligned using BayesMap StripAlign software and downstream L3 lidar raster products re-processed.
97405,97404.0,2024-11-15T00:00:00Z,2025-01-29T00:00:00Z,2018-07-14T00:00:00Z,2018-07-16T00:00:00Z,ABBY,"Mis-alignment in the discrete lidar line to line adjustments. Some portions of the flight box were found to have up to ~meters vertical differences between flight lines, which affected all downstream lidar products.",Lidar lines were properly aligned using BayesMap StripAlign software and downstream L3 lidar raster products re-processed.
99212,,2025-02-04T00:00:00Z,,2022-07-07T00:00:00Z,2022-07-19T00:00:00Z,"ARIK, WREF",Missing lidar flight lines from one of the flight days.,
99213,,2025-01-29T00:00:00Z,2025-02-04T00:00:00Z,2022-08-03T00:00:00Z,2022-08-11T00:00:00Z,TOOL,Corrupt geotiff tile (NEON_D18_TOOL_DP3_394000_7622000_DTM.tif).,Corrupt file re-uploaded and is available provisionally.
